gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction	significance
TSPAN12	0.330825334341522	4.8757218756735	0.521821793164856	0.611515518278898	0.889460587667033	-5.76499452758383	up_in_PH	not_FDR_significant
LOC101927604	0.0481526474763738	2.57796869383498	0.521677345185886	0.611540033105296	0.889460587667033	-5.76513689208134	up_in_PH	not_FDR_significant
NDC80	-0.161967929671128	2.41647486390718	-0.521749457284544	0.611564339463232	0.889460587667033	-5.76503155553302	down_in_PH	not_FDR_significant
STUB1-DT	0.0744919682211549	4.62663361724728	0.521414774639848	0.61171647557752	0.889604975577995	-5.76527197038513	up_in_PH	not_FDR_significant
MAP3K9-DT	0.0311709426081719	2.31961860290525	0.521300648260001	0.611793538852343	0.889604975577995	-5.76533032042808	up_in_PH	not_FDR_significant
CLCN2	-0.136043742721664	4.4746987195681	-0.521275418851683	0.611811413334397	0.889604975577995	-5.76534243273079	down_in_PH	not_FDR_significant
LINC00567	-0.0874655944367513	2.64536011405283	-0.521364577856816	0.611824136487825	0.889604975577995	-5.76522848901296	down_in_PH	not_FDR_significant
SAP18	0.242193552868073	8.90322143715292	0.52109418576421	0.611952080845307	0.889661969019413	-5.76541793386445	up_in_PH	not_FDR_significant
PTGFR	0.0522241375481056	2.58287385598101	0.521008654417453	0.611991565684185	0.889661969019413	-5.7654787698541	up_in_PH	not_FDR_significant
PCED1A	-0.192890850493715	5.94565838533798	-0.520982076485507	0.61200951584659	0.889661969019413	-5.76549234958132	down_in_PH	not_FDR_significant
WDR88	0.0484359899297155	2.81000945936623	0.52086454500905	0.612088060194653	0.889661969019413	-5.76555317744437	up_in_PH	not_FDR_significant
CHCHD3	0.122574943888825	7.10649592896489	0.520857074151404	0.612093106239632	0.889661969019413	-5.7655569936476	up_in_PH	not_FDR_significant
SLC5A2	0.0873075237955963	4.7552887161059	0.520805964045091	0.612127628121784	0.889661969019413	-5.76558309990248	up_in_PH	not_FDR_significant
MSH5	0.123002411246222	3.13188693780345	0.520879066348161	0.612151939938967	0.889661969019413	-5.76547671630053	up_in_PH	not_FDR_significant
TMEM161A	-0.130329172389478	7.08665157832707	-0.520721922590343	0.612184395318573	0.889661969019413	-5.76562602168201	down_in_PH	not_FDR_significant
SPAG5-AS1	0.0712234018141471	3.43049733848977	0.520635535291881	0.612242749799985	0.889688448218031	-5.76567013466331	up_in_PH	not_FDR_significant
FAM98C	-0.1083106639564	5.77702273987973	-0.520459833783563	0.612361444472751	0.889744518796267	-5.76575983373802	down_in_PH	not_FDR_significant
SPMIP5	0.0629064201210445	3.22290269875216	0.520459591920575	0.612361607870563	0.889744518796267	-5.76575995719397	up_in_PH	not_FDR_significant
ABCG4	-0.128301584327232	5.19780594364782	-0.520276372996931	0.612485393188113	0.889751793369916	-5.76585346332299	down_in_PH	not_FDR_significant
LINC03032	0.0785073446770412	3.00829646113306	0.520294076286921	0.612492515349654	0.889751793369916	-5.76582655926823	up_in_PH	not_FDR_significant
ANXA10	0.039129658570094	2.75471883611426	0.520110933157939	0.612597177452998	0.889751793369916	-5.76593786893879	up_in_PH	not_FDR_significant
LINC01649	0.0298063477707418	2.54242111686115	0.520014430117221	0.612662387264659	0.889751793369916	-5.76598709194679	up_in_PH	not_FDR_significant
EBNA1BP2	0.192947710112859	8.38969255200364	0.519994167380132	0.612676915243765	0.889751793369916	-5.76599664407032	up_in_PH	not_FDR_significant
SLC18A2	-0.0623452962282038	2.60964600505423	-0.520020478088434	0.612677372209699	0.889751793369916	-5.76596615200513	down_in_PH	not_FDR_significant
CACNA1B	-0.681316616294994	5.69421679303552	-0.520056117910855	0.612707771980602	0.889751793369916	-5.76589696229525	down_in_PH	not_FDR_significant
MUCL1	-0.0901293593576336	3.38972403538582	-0.519936082403771	0.612720476656024	0.889751793369916	-5.76602223162253	down_in_PH	not_FDR_significant
ZNF416	0.0614157224760343	2.65405869878782	0.51990328417852	0.61274852104213	0.889751793369916	-5.76603345237041	up_in_PH	not_FDR_significant
COL6A5	0.0387162621735389	2.29253211787052	0.519819554679618	0.612794915760828	0.889751793369916	-5.76608568325464	up_in_PH	not_FDR_significant
WASL	-0.211865007736794	8.682428520367	-0.519802635048617	0.612808118963004	0.889751793369916	-5.76609265403861	down_in_PH	not_FDR_significant
ZNF32	-0.122925227259865	6.37065216405892	-0.519674931571457	0.612891823530586	0.889815046435656	-5.7661601898252	down_in_PH	not_FDR_significant
ATP6V1B2	0.428237033256664	8.82776158122984	0.519597500449454	0.613017638820939	0.889939424844962	-5.76613088506093	up_in_PH	not_FDR_significant
UPB1	0.113048652412934	4.78333426786427	0.519393317465985	0.61308217352979	0.889974829599135	-5.76630369289153	up_in_PH	not_FDR_significant
NEK6	-0.334924763931118	5.49977976147465	-0.519316709573047	0.613207395043316	0.889984573003521	-5.76627400853807	down_in_PH	not_FDR_significant
GPRC5B	-0.195664314640904	11.9852568313746	-0.519132978381564	0.613269715580756	0.889984573003521	-5.76642548806414	down_in_PH	not_FDR_significant
ZNF568	0.155691485526654	3.37575603617591	0.519183417909391	0.613297482757215	0.889984573003521	-5.76634192360279	up_in_PH	not_FDR_significant
RAB33A	0.290561106076938	7.67870962236918	0.51903330898921	0.613387354371429	0.889984573003521	-5.76642922942462	up_in_PH	not_FDR_significant
JAM2	0.232381708585177	7.35269244108317	0.518957916930779	0.613387531862455	0.889984573003521	-5.76651512535466	up_in_PH	not_FDR_significant
H2BC6	0.118856568154475	3.79540778224644	0.518947683772252	0.613395216720133	0.889984573003521	-5.76651961819321	up_in_PH	not_FDR_significant
LSMEM2	0.0893715262885522	3.87344880281002	0.518928053787974	0.613396721541591	0.889984573003521	-5.76654061666285	up_in_PH	not_FDR_significant
LOC101928191	-0.0724129773444271	3.20884533400801	-0.518909554069795	0.613410063646734	0.889984573003521	-5.76654925351169	down_in_PH	not_FDR_significant
PYM1	0.162598373119115	6.0522791404518	0.518752737595399	0.613515267400453	0.890078956003485	-5.76662983956695	up_in_PH	not_FDR_significant
SYT2	0.299385306714513	5.56417817788235	0.518732431467456	0.613602339591555	0.890117769826323	-5.76657158818042	up_in_PH	not_FDR_significant
GPR75	-0.0737270892799296	3.41037373448752	-0.518469319847047	0.613707766532972	0.890117769826323	-5.76677323899641	down_in_PH	not_FDR_significant
SFRP5	-0.0673911259354361	4.37020265135146	-0.518335984791557	0.613797114524447	0.890117769826323	-5.76684182052893	down_in_PH	not_FDR_significant
NRIP3	0.462532292466955	6.96524664231242	0.518441686269139	0.613798917021465	0.890117769826323	-5.76671954929595	up_in_PH	not_FDR_significant
MTHFD1	-0.17427759845611	4.2333917777111	-0.51840063553237	0.613808154262885	0.890117769826323	-5.76675774808731	down_in_PH	not_FDR_significant
IGKV1D-13	0.0473413546475574	3.44462056630575	0.518318867839875	0.613808691984865	0.890117769826323	-5.76685052358383	up_in_PH	not_FDR_significant
ADAD1	0.0604848390913353	2.9223796337057	0.518262864807067	0.613847403998973	0.890117769826323	-5.76687821830549	up_in_PH	not_FDR_significant
TPRN	-0.28637563339022	5.41219281332178	-0.518346549605722	0.613863247253015	0.890117769826323	-5.76676794748879	down_in_PH	not_FDR_significant
PANX3	-0.0515454817982328	2.5556352098886	-0.518179923589705	0.613903506396144	0.890117923329826	-5.76692038146797	down_in_PH	not_FDR_significant
SEC14L3	-0.043420968534631	2.44541267504614	-0.518049365476469	0.613991822592387	0.89018775168267	-5.76698673765828	down_in_PH	not_FDR_significant
PRTFDC1	0.21085088849105	8.71748307255634	0.517897294636399	0.614096460256488	0.890281232814454	-5.76706236200689	up_in_PH	not_FDR_significant
GNPAT	0.15828764570062	7.92718030245242	0.517714449798147	0.614217574430227	0.890342067345883	-5.76715766239643	up_in_PH	not_FDR_significant
NPSR1-AS1	-0.0462475253197803	2.75490111666325	-0.517703350707207	0.614225084117825	0.890342067345883	-5.76716329927814	down_in_PH	not_FDR_significant
NCSTN	-0.134255331326678	6.70746078947834	-0.517653353841759	0.614258912756583	0.890342067345883	-5.76718868969815	down_in_PH	not_FDR_significant
GLYATL1	0.0439149529786755	2.39070785403855	0.51754014767779	0.614336344132167	0.890387433718813	-5.76724539555582	up_in_PH	not_FDR_significant
TNFSF12-TNFSF13	-0.175020084731533	6.85141333423621	-0.517488380960974	0.614370542501036	0.890387433718813	-5.76727245299955	down_in_PH	not_FDR_significant
ELOF1	0.131428137782211	7.40468749254423	0.517344043935099	0.614468217179386	0.890403534688129	-5.76734571780107	up_in_PH	not_FDR_significant
FAM222A	-0.381347303642337	6.98262753149741	-0.517441348531025	0.61447550130671	0.890403534688129	-5.76722802101485	down_in_PH	not_FDR_significant
