sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHSeqBatch1g_A12	GSM4976009	Neutrophils from hematoma of ICH patient number 2379 on day 5 of study - replicate 2	ICHSeqBatch1g_A12	Neutrophil	Hematoma	2379	5	2	Neutrophil|Hematoma|2379|5
ICHSeqBatch1g_A11	GSM4976004	Neutrophils from hematoma of ICH patient number 2379 on day 3 of study - replicate 2	ICHSeqBatch1g_A11	Neutrophil	Hematoma	2379	3	2	Neutrophil|Hematoma|2379|3
ICHSeqBatch1g_D05	GSM4976138	Neutrophils from hematoma of ICH patient number 2215 on day 3 of study - replicate 2	ICHSeqBatch1g_D05	Neutrophil	Hematoma	2215	3	2	Neutrophil|Hematoma|2215|3
ICHSeqBatch1g_A10	GSM4976003	Neutrophils from hematoma of ICH patient number 2379 on day 3 of study - replicate 1	ICHSeqBatch1g_A10	Neutrophil	Hematoma	2379	3	1	Neutrophil|Hematoma|2379|3
ICHSeqBatch1g_A07	GSM4975998	Neutrophils from blood of ICH patient number 2379 on day 2 of study - replicate 2	ICHSeqBatch1g_A07	Neutrophil	ICHBlood	2379	2	2	Neutrophil|ICHBlood|2379|2
ICHSeqBatch1g_D03	GSM4976142	Neutrophils from hematoma of ICH patient number 2215 on day 5 of study - replicate 1	ICHSeqBatch1g_D03	Neutrophil	Hematoma	2215	5	1	Neutrophil|Hematoma|2215|5
ICHSeqBatch1g_A08	GSM4976006	Neutrophils from hematoma of ICH patient number 2379 on day 4 of study - replicate 1	ICHSeqBatch1g_A08	Neutrophil	Hematoma	2379	4	1	Neutrophil|Hematoma|2379|4
ICHSeqBatch1g_B12	GSM4976116	Neutrophils from hematoma of ICH patient number 2385 on day 4 of study - replicate 2	ICHSeqBatch1g_B12	Neutrophil	Hematoma	2385	4	2	Neutrophil|Hematoma|2385|4
ICHSeqBatch1g_C02	GSM4976108	Neutrophils from blood of ICH patient number 2385 on day 2 of study - replicate 2	ICHSeqBatch1g_C02	Neutrophil	ICHBlood	2385	2	2	Neutrophil|ICHBlood|2385|2
ICHSeqBatch1g_C11	GSM4976131	Neutrophils from hematoma of ICH patient number 2215 on day 1 of study - replicate 1	ICHSeqBatch1g_C11	Neutrophil	Hematoma	2215	1	1	Neutrophil|Hematoma|2215|1
ICHSeqBatch1g_B10	GSM4976113	Neutrophils from hematoma of ICH patient number 2385 on day 3 of study - replicate 2	ICHSeqBatch1g_B10	Neutrophil	Hematoma	2385	3	2	Neutrophil|Hematoma|2385|3
ICHSeqBatch1g_B04	GSM4976008	Neutrophils from hematoma of ICH patient number 2379 on day 5 of study - replicate 1	ICHSeqBatch1g_B04	Neutrophil	Hematoma	2379	5	1	Neutrophil|Hematoma|2379|5
ICHSeqBatch1g_C08	GSM4976139	Neutrophils from blood of ICH patient number 2215 on day 4 of study - replicate 1	ICHSeqBatch1g_C08	Neutrophil	ICHBlood	2215	4	1	Neutrophil|ICHBlood|2215|4
ICHSeqBatch1g_A03	GSM4976001	Neutrophils from blood of ICH patient number 2379 on day 3 of study - replicate 1	ICHSeqBatch1g_A03	Neutrophil	ICHBlood	2379	3	1	Neutrophil|ICHBlood|2379|3
