gene	logFC_discovery	FDR_discovery	logFC_validation	FDR_validation	concordant	max_FDR_across_cohorts
LONP1	0.578940849738302	0.368633021837175	3.66274397579123	0.000000000000000000000000000000000000000000000000000000000000000553086402103789	TRUE	0.368633021837175
LONP2	-0.500861432499304	0.727959083858019	-0.241673973237587	0.0962327383686125	TRUE	0.727959083858019
LONRF1	0.0392206260735613	0.986381745809887	1.26457467851578	0.00000515106715702423	TRUE	0.986381745809887
LONRF2	-0.861293617661438	0.78507226978668	0.384264560873993	0.0177740298578201	FALSE	0.78507226978668
LONRF3	0.423212523946314	0.308338757054301	2.53264544843436	0.000000000000000000000000000529285323670698	TRUE	0.308338757054301
LOXHD1	-0.0785800598304083	0.884074189449534	-1.38298535625757	0.0000314247534214503	TRUE	0.884074189449534
LOXL1-AS1	-0.150161725053986	0.929001857567779	0.204306725771707	0.481919355405469	FALSE	0.929001857567779
LOXL3	0.221070908079871	0.677818048404747	-0.949450926372979	0.0000335991335737426	FALSE	0.677818048404747
LPAL2	-0.0729841232141455	0.821651105820111	-0.117338935161246	0.600429597353384	TRUE	0.821651105820111
LPAR1	0.784385993950837	0.788502451773212	-1.89376209959079	0.0000000000000000617712423132785	FALSE	0.788502451773212
LPAR2	0.563986748783266	0.446758986588665	-0.595553709957309	0.00000324400575588727	FALSE	0.446758986588665
LPAR6	0.334272440418321	0.818427812171185	-0.441750919348327	0.00573437602292794	FALSE	0.818427812171185
LPCAT1	0.76186132473423	0.578527231227898	3.09056483555308	0.00000000000000000000000000000000000000000000000000000000000000000000565620785861925	TRUE	0.578527231227898
LPCAT2	-0.196321005335373	0.926161738448595	-0.277928928098004	0.0000259585737269644	TRUE	0.926161738448595
LPCAT3	-0.0933910481888955	0.829297291907615	-0.665692055973621	0.0000000415302899298198	TRUE	0.829297291907615
LPCAT4	-0.644926281735565	0.8214085093712	-1.41096544270251	0.000000000000210294296455376	TRUE	0.8214085093712
LPGAT1	-0.485839222586948	0.753300044516356	-0.548421979178614	0.00000420595661409804	TRUE	0.753300044516356
LPIN1	-0.0325704465605323	0.981202074417299	0.869798017848951	0.0000000041043783657032	FALSE	0.981202074417299
LPIN2	-0.255421426623916	0.842927143677229	-0.153853611290419	0.276800574125748	TRUE	0.842927143677229
LPIN3	-0.00445533640228923	0.996218933940792	0.366985277883328	0.00114762859981534	FALSE	0.996218933940792
LPL	0.475771632204837	0.752047450754092	0.70471324162356	0.0116795304318236	TRUE	0.752047450754092
LPP	-0.36922020825465	0.725944374499705	0.402777844559975	0.0000000000364491249970411	FALSE	0.725944374499705
LPP-AS2	-0.310468259496861	0.527156005167635	-0.31480124890301	0.158629711576745	TRUE	0.527156005167635
LPXN	0.00486454569895933	0.998964504743758	0.0475764717631639	0.732676669973343	TRUE	0.998964504743758
LRAT	0.0327724866787	0.867743632955266	0.535333210936762	0.00041200769617537	TRUE	0.867743632955266
LRBA	-0.288303837246797	0.862926650497078	-1.05002515301939	0.00000368551763050865	TRUE	0.862926650497078
LRCH1	0.358999099691837	0.827508953417975	0.300098553687076	0.238474482396315	TRUE	0.827508953417975
LRCH3	0.273725306415034	0.891750637995631	-0.751609031578556	0.000966118786331086	FALSE	0.891750637995631
LRCH4	-0.0208949102519531	0.988372156272006	-0.406758771349439	0.000161644352396875	TRUE	0.988372156272006
LRFN1	-1.06455992919435	0.565972984241239	-0.607678253114368	0.0248060204109945	TRUE	0.565972984241239
LRG1	0.0679190286503415	0.900629234084555	1.4243524815194	0.000000000000000000000000135734620191602	TRUE	0.900629234084555
LRIF1	-0.819897405175228	0.480875202304137	0.7549313282448	0.000000812184350035821	FALSE	0.480875202304137
LRIG1	-0.46745886238315	0.742181632153146	-0.135822975083389	0.65012335893993	TRUE	0.742181632153146
