gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
TRAF1	1.9338927409306	2.25089646435768	10.0593158670337	0.000000000000000000020835322523164	0.000000000000000000185874210354566	35.5041180982694	up_in_hematoma
SUN1	-1.30726858083099	0.926222020080671	-10.0579562126106	0.0000000000000000000210303680916261	0.000000000000000000187477288688342	35.416195989531	down_in_hematoma
DAAM1	-2.17736899316517	0.132556960065528	-10.0467702121382	0.0000000000000000000228546792639869	0.000000000000000000203591683334115	35.5191010374435	down_in_hematoma
RALGAPA1	2.26422329118969	1.87665048729782	10.0432412345252	0.0000000000000000000234569767240443	0.000000000000000000208804706071978	35.4014805277737	up_in_hematoma
BICD2	-1.50149801821178	4.89240692471182	-10.0417913855211	0.0000000000000000000237089745159155	0.000000000000000000210894177540332	35.2109148679761	down_in_hematoma
RMDN2	-2.40972038933502	1.76295140301408	-10.0406866829175	0.0000000000000000000239027874236639	0.000000000000000000212463422711213	35.4187339773859	down_in_hematoma
IKBIP	-1.43032244409057	3.07877815025406	-10.0381042387799	0.0000000000000000000241807195300822	0.000000000000000000214680112725877	35.404545742839	down_in_hematoma
FHOD1	1.40884212211571	3.36988447090015	10.039002571252	0.0000000000000000000241873278564486	0.000000000000000000214680112725877	35.3547539325064	up_in_hematoma
SGTA	1.02177694093634	5.48242165186572	10.0333695087754	0.000000000000000000025226910858025	0.000000000000000000223744562315947	34.9558587530419	up_in_hematoma
TCP1	0.758131736136066	6.27945936708995	10.0131901681805	0.000000000000000000029268532152577	0.000000000000000000259402455137462	34.6564853314653	up_in_hematoma
RASSF3	-0.911998127002131	6.29144709776253	-10.012164031549	0.0000000000000000000294904351623178	0.000000000000000000261179611774755	34.7484589616663	down_in_hematoma
PRIM1	-1.97515882263575	-1.33020124922189	-10.0112914691807	0.0000000000000000000296804427324848	0.000000000000000000262671918182491	35.2936675188226	down_in_hematoma
FAM49B	0.548502631730051	8.72444409455237	10.0097667805479	0.0000000000000000000297940149668626	0.00000000000000000026348610049985	34.4444186036568	up_in_hematoma
GSDMD	-0.820168410344404	6.04346135078125	-10.0072487353216	0.0000000000000000000305767842754476	0.000000000000000000270212927898728	34.6962701966417	down_in_hematoma
PANX1	1.1677779629472	0.648055900900148	10.0018683489878	0.0000000000000000000315407257296402	0.000000000000000000278529922874979	35.0449583292895	up_in_hematoma
SOD2	0.969615541677355	10.0521106264901	10.0003460741988	0.0000000000000000000321698396739119	0.000000000000000000283880239839224	34.2618670158102	up_in_hematoma
PLEK2	2.49822562465605	-2.44939461502155	9.99442439904364	0.0000000000000000000336020659809891	0.000000000000000000296304716119725	35.1886986682244	up_in_hematoma
PPP1R12A	-0.721752937577437	6.81296744780661	-9.99144995622253	0.0000000000000000000343452063982855	0.000000000000000000302639253782295	34.5218992332669	down_in_hematoma
STS	-2.45701522760522	1.71227215545	-9.98129893744612	0.0000000000000000000370065316849577	0.000000000000000000325854918145918	35.0160857291839	down_in_hematoma
KRT23	-1.95475114331294	2.5528454580798	-9.97848612022649	0.0000000000000000000377795831442709	0.000000000000000000332422225461801	34.9319141555437	down_in_hematoma
FNIP2	2.35140782298392	1.05440869994791	9.97819973865704	0.0000000000000000000378591846134151	0.000000000000000000332882808987501	34.9096533620846	up_in_hematoma
RGS3	-1.48472015848957	4.68885712376354	-9.97599463156915	0.0000000000000000000384777172114372	0.000000000000000000338077957052721	34.7786690252021	down_in_hematoma
ARL6IP1	0.815407873019688	7.27279673876376	9.97469840355671	0.000000000000000000038845986172538	0.000000000000000000341068317128114	34.2629439719599	up_in_hematoma
JAZF1	-1.31428890206935	3.70297867890689	-9.97226189258581	0.0000000000000000000395477267517965	0.00000000000000000034698016294518	34.8110224334178	down_in_hematoma
